-0.011278,0.023325,0.785005,-0.010238,-0.003040,-0.726501,0.687082,0.047176,0.103212,0.096510,0.136096,-0.161709,-0.112391,0.044101,-0.011392,-0.146471,0.125301,-0.187436,0.015087,0.003900,0.078569,0.150309,0.019220,0.227736,-0.625147,0.918416,-0.134144,0.101448,0.249987,-0.110597,-0.157349,0.204963,1.141262,0.285593,0.032928,-0.255126
-0.011478,0.023362,0.785011,-0.010045,-0.002711,-0.726665,0.686913,0.046421,0.103958,0.096996,0.136044,-0.161750,-0.112701,0.043166,-0.010690,-0.146013,0.125227,-0.187299,0.014307,0.004133,0.079006,0.149960,0.019127,0.228060,-0.625057,0.918498,-0.134165,0.101418,0.250092,-0.110919,-0.157221,0.204709,1.140861,0.285625,0.032597,-0.255206
-0.011669,0.023405,0.785041,-0.009857,-0.002384,-0.726833,0.686739,0.045679,0.104718,0.097505,0.136013,-0.161830,-0.112974,0.042242,-0.009979,-0.145544,0.125148,-0.187157,0.013528,0.004415,0.079394,0.149618,0.019118,0.228559,-0.625025,0.918418,-0.134195,0.101416,0.250182,-0.111266,-0.156968,0.204304,1.140487,0.285566,0.032233,-0.255314
-0.011894,0.023504,0.785032,-0.009670,-0.002045,-0.726992,0.686575,0.044921,0.105477,0.097965,0.135936,-0.161832,-0.113323,0.041307,-0.009258,-0.145098,0.125044,-0.187000,0.012748,0.004669,0.079818,0.149273,0.018985,0.228901,-0.624952,0.918531,-0.134227,0.101386,0.250308,-0.111617,-0.156763,0.204031,1.140143,0.285571,0.031909,-0.255395
-0.012149,0.023577,0.785038,-0.009454,-0.001704,-0.727128,0.686435,0.044121,0.106218,0.098302,0.135753,-0.161651,-0.113856,0.040359,-0.008527,-0.144712,0.124855,-0.186801,0.011964,0.004901,0.080183,0.148986,0.018752,0.229261,-0.624816,0.918687,-0.134312,0.101331,0.250490,-0.112045,-0.156519,0.203923,1.139894,0.285603,0.031668,-0.255411
-0.012416,0.023639,0.785059,-0.009208,-0.001335,-0.727233,0.686328,0.043275,0.106913,0.098453,0.135321,-0.161128,-0.114683,0.039355,-0.007803,-0.144427,0.124584,-0.186563,0.011182,0.004979,0.080481,0.148767,0.018575,0.229720,-0.624453,0.918643,-0.134439,0.101309,0.250763,-0.112682,-0.156179,0.204091,1.139831,0.285668,0.031546,-0.255378
-0.012713,0.023731,0.785039,-0.008929,-0.000958,-0.727314,0.686246,0.042379,0.107582,0.098465,0.134763,-0.160398,-0.115719,0.038295,-0.007081,-0.144217,0.124278,-0.186308,0.010399,0.004758,0.080612,0.148617,0.018731,0.230527,-0.623712,0.918124,-0.134577,0.101336,0.251085,-0.113689,-0.155570,0.204660,1.140114,0.285774,0.031476,-0.255365
-0.013003,0.023873,0.785018,-0.008653,-0.000588,-0.727386,0.686173,0.041492,0.108269,0.098460,0.134183,-0.159634,-0.116789,0.037246,-0.006332,-0.144000,0.123961,-0.186036,0.009601,0.004609,0.080733,0.148532,0.018726,0.231281,-0.623041,0.917772,-0.134753,0.101290,0.251418,-0.114643,-0.155009,0.205328,1.140399,0.285917,0.031430,-0.255277
-0.013312,0.023983,0.785043,-0.008407,-0.000244,-0.727464,0.686094,0.040656,0.109008,0.098557,0.133738,-0.159040,-0.117715,0.036272,-0.005525,-0.143699,0.123657,-0.185751,0.008769,0.004718,0.080924,0.148522,0.018373,0.231795,-0.622683,0.917873,-0.134956,0.101098,0.251729,-0.115398,-0.154617,0.205965,1.140629,0.286098,0.031342,-0.255066
-0.013705,0.024039,0.785045,-0.008167,0.000069,-0.727559,0.685997,0.039830,0.109832,0.098844,0.133457,-0.158694,-0.118418,0.035276,-0.004652,-0.143243,0.123442,-0.185416,0.007943,0.004895,0.080887,0.148599,0.018114,0.232701,-0.622448,0.917868,-0.135206,0.100682,0.251976,-0.116310,-0.153957,0.206862,1.141186,0.286319,0.031076,-0.254864
