-0.001424,0.025443,0.785891,-0.035685,-0.041090,-0.723911,0.687744,0.137080,0.041940,0.167897,0.170810,-0.199076,-0.033336,0.096625,-0.046770,-0.126597,0.190802,-0.210411,0.021848,-0.024022,0.002451,0.188500,0.008308,0.141671,-0.544111,1.234064,-0.088995,0.004599,0.186136,-0.068270,-0.146674,0.684254,1.208100,0.215821,0.087448,-0.019526
-0.001516,0.025563,0.785917,-0.035530,-0.040973,-0.724102,0.687557,0.136628,0.042167,0.168445,0.170677,-0.198721,-0.033635,0.095819,-0.046533,-0.126149,0.190929,-0.210100,0.021453,-0.024740,0.002306,0.188225,0.008049,0.141735,-0.544209,1.234343,-0.089295,0.004479,0.185925,-0.068601,-0.146471,0.683840,1.208009,0.215448,0.087395,-0.020076
-0.001615,0.025656,0.785946,-0.035377,-0.040851,-0.724297,0.687367,0.136191,0.042374,0.169011,0.170522,-0.198363,-0.033916,0.094971,-0.046323,-0.125688,0.191148,-0.209843,0.021069,-0.025242,0.002157,0.188021,0.007577,0.141847,-0.544518,1.234750,-0.089652,0.004352,0.185613,-0.068932,-0.146211,0.683032,1.207911,0.214841,0.087325,-0.020618
-0.001735,0.025806,0.785983,-0.035219,-0.040734,-0.724494,0.687174,0.135752,0.042611,0.169569,0.170354,-0.197987,-0.034236,0.094146,-0.046075,-0.125221,0.191286,-0.209528,0.020662,-0.025186,0.001917,0.187806,0.006919,0.142109,-0.545369,1.235197,-0.090075,0.004260,0.185422,-0.069233,-0.145709,0.681482,1.208010,0.214031,0.087213,-0.021051
-0.001887,0.025940,0.786021,-0.035062,-0.040588,-0.724691,0.686983,0.135258,0.042908,0.170088,0.170156,-0.197554,-0.034650,0.093246,-0.045761,-0.124749,0.191458,-0.209202,0.020204,-0.025146,0.001624,0.187514,0.006445,0.142439,-0.546133,1.235415,-0.090361,0.004185,0.185566,-0.069584,-0.145140,0.680128,1.208210,0.213623,0.087090,-0.021289
-0.002037,0.026074,0.786061,-0.034930,-0.040432,-0.724883,0.686797,0.134772,0.043267,0.170535,0.169973,-0.197121,-0.035176,0.092379,-0.045371,-0.124280,0.191589,-0.208850,0.019695,-0.025520,0.001372,0.187211,0.006221,0.142592,-0.546305,1.235455,-0.090111,0.004115,0.186201,-0.069868,-0.144898,0.679482,1.208143,0.213856,0.087039,-0.021231
-0.002204,0.026238,0.786081,-0.034803,-0.040280,-0.725077,0.686607,0.134315,0.043654,0.170956,0.169742,-0.196657,-0.035782,0.091482,-0.044945,-0.123788,0.191797,-0.208531,0.019150,-0.025627,0.001063,0.186937,0.005922,0.142763,-0.546588,1.235453,-0.089582,0.004082,0.187139,-0.070197,-0.144627,0.678488,1.208233,0.214159,0.086952,-0.020892
-0.002401,0.026425,0.786110,-0.034659,-0.040072,-0.725276,0.686417,0.133700,0.044119,0.171370,0.169520,-0.196118,-0.036452,0.090482,-0.044435,-0.123305,0.191895,-0.208087,0.018553,-0.025762,0.000790,0.186564,0.005696,0.142905,-0.546743,1.235333,-0.089196,0.004021,0.188222,-0.070497,-0.144395,0.677716,1.208226,0.214741,0.086876,-0.020518
-0.002555,0.026613,0.786150,-0.034445,-0.039778,-0.725493,0.686216,0.132786,0.044675,0.171838,0.169296,-0.195435,-0.037163,0.089184,-0.043839,-0.122819,0.191950,-0.207483,0.017890,-0.025883,0.000600,0.186008,0.005529,0.142974,-0.546734,1.235061,-0.089374,0.003896,0.189224,-0.070844,-0.144272,0.677246,1.208189,0.215511,0.086764,-0.020273
-0.002762,0.026841,0.786211,-0.034135,-0.039382,-0.725737,0.685995,0.131502,0.045301,0.172388,0.169067,-0.194604,-0.037910,0.087508,-0.043167,-0.122313,0.191954,-0.206675,0.017157,-0.025748,0.000410,0.185327,0.005236,0.143086,-0.546610,1.234661,-0.090161,0.003742,0.189948,-0.071363,-0.144019,0.676497,1.208263,0.216180,0.086621,-0.020127
